strain,angular_velocity_head_tip_w_backward_IQR_medianDiff_all,angular_velocity_head_tip_w_backward_abs_10th_medianDiff_all,angular_velocity_head_tip_w_backward_abs_50th_medianDiff_all,d_angular_velocity_head_tip_w_backward_10th_medianDiff_all,d_angular_velocity_head_tip_w_backward_90th_medianDiff_all,d_angular_velocity_head_tip_w_backward_IQR_medianDiff_all,d_angular_velocity_head_tip_w_backward_abs_10th_medianDiff_all,d_angular_velocity_head_tip_w_backward_abs_50th_medianDiff_all,d_relative_to_head_base_angular_velocity_head_tip__medianDiff_all,d_relative_to_head_base_radial_velocity_head_tip_w_medianDiff_all,d_relative_to_neck_radial_velocity_head_tip_w_back_medianDiff_all,relative_to_body_radial_velocity_hips_w_backward_5_medianDiff_all,relative_to_body_radial_velocity_neck_w_forward_50_medianDiff_all,relative_to_head_base_angular_velocity_head_tip_w__medianDiff_all,relative_to_head_base_radial_velocity_head_tip_w_b_medianDiff_all,relative_to_neck_radial_velocity_head_tip_w_backwa_medianDiff_all
JU1808,-0.29829,-0.034598,-0.15367,1.0287,-0.56016,-1.3521,-0.13009,-0.67341,-0.27501,-2.5196,5.5473,0.21383,-0.040736,-0.048232,-0.66941,0.81631
JU1896,-0.32944,-0.034774,-0.16775,0.64205,-0.60993,-1.1571,-0.09906,-0.57685,-0.47925,-8.4394,6.398,0.5489,0.46745,-0.12497,-1.5982,0.664
JU2001,-0.34004,-0.022796,-0.17283,0.60463,-0.67673,-0.9788,-0.079715,-0.48769,-0.42807,-5.703,6.5042,0.23517,-0.0016683,-0.086076,-0.96631,0.82293
JU2007,-0.13053,-0.011323,-0.066081,0.64812,-0.69881,-0.86783,-0.075838,-0.44127,-0.40782,-11.8266,0.44673,0.34135,0.45626,-0.071887,-2.2669,1.2011
JU2131,-0.12325,-0.0072184,-0.06165,0.18948,0.32825,-0.60262,-0.096768,-0.31316,-0.023321,-6.5216,0.19041,0.66839,0.53393,-0.043439,-1.4336,0.080471
JU2141,-0.2016,-0.019241,-0.10021,1.4115,-1.3652,-1.7915,-0.12739,-0.89307,-0.84194,-6.1525,0.83318,0.80631,0.27368,-0.063845,-1.1381,0.75783
JU2234,-0.46524,-0.035718,-0.23365,1.5711,-0.67204,-1.2159,-0.11494,-0.60554,-0.51241,-3.2426,1.5971,0.66414,0.32839,-0.12936,-1.1139,0.5034
JU2464,-0.0024204,-0.0054221,-0.0017362,0.52511,-0.57098,-0.63234,-0.051704,-0.32753,-0.21205,-1.5875,1.5811,0.45504,0.16891,-0.0087388,-0.23314,-0.11257
JU2466,-0.012951,-0.008689,-0.0050375,0.54868,-0.75259,-0.74312,-0.074734,-0.38286,-0.26003,-3.8293,-0.204,0.49341,0.27649,-0.0059088,-0.8672,0.57129
JU2513,-0.32925,-0.05444,-0.1595,1.2645,-0.99619,-1.9603,-0.19998,-0.98167,-0.79388,-11.3039,6.3211,0.82612,0.39717,-0.1292,-2.1028,0.67401
JU2519,-0.2307,-0.028551,-0.11907,0.50978,-0.36617,-0.65523,-0.09011,-0.33182,-0.21083,-3.4794,2.2008,0.16085,0.14799,-0.068455,-0.44305,0.44191
JU2522,-0.34254,-0.03954,-0.16729,0.71888,-0.74554,-1.1478,-0.12174,-0.57841,-0.52695,-2.8727,5.1271,0.40116,0.11108,-0.13691,-0.40273,1.2221
