strain	min	10prc	25prc	median	mean	75prc	90prc	max	iqr
NIC522	0	2.4737	7.2082	14.8102	9.3096	11.2585	9.0704	8.602	0.73715
NIC523	-0.0060422	7.1717	11.6446	17.2538	16.7679	25.1512	22.9917	71.7448	13.5066
PB303	0	10.9716	24.0361	27.1739	17.473	14.5301	4.4809	36.5902	2.6161
PS2025	-0.70167	-6.1214	-1.6291	-0.6233	-3.1633	-5.9017	-1.9784	42.9525	-0.86691
PX179	-1.0424	-36.0972	-46.4897	-12.7292	-15.8212	-1.0114	5.1327	97.2082	40.5644
QG2075	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
QG536	0	-10.554	-17.4678	-19.4322	-14.0345	-13.7668	-9.907	38.7737	0.83543
QG556	0	-5.1214	-8.7598	-0.59724	-0.71626	7.4544	10.3007	45.1565	16.2141
QG557	-0.10671	-6.1262	-5.0457	5.3077	5.7529	14.745	18.2747	70.5289	15.1952
QW947	-0.04424	-0.63751	0.40034	5.8348	3.5952	4.6852	10.9941	65.1572	3.0393
QX1212	0	-1.5109	6.8864	21.4535	21.1398	32.7538	52.3931	34.6278	24.922
QX1233	-0.024796	1.7013	6.9864	17.631	15.5945	20.0605	13.6179	-16.9956	-1.4698
QX1791	0	-2.4131	-2.5161	-24.0966	-16.8661	-16.595	-11.8605	30.683	-1.7261
QX1792	-0.11147	1.5816	5.2043	10.3135	5.1077	4.5791	6.5369	43.4303	-1.9318
QX1793	0.00020345	4.2945	15.7746	28.2913	22.7585	26.7013	28.0588	80.5529	-0.98021
QX1794	0	6.86	14.5017	11.5156	12.0288	14.5695	11.0225	41.7571	8.0086
RC301	0	-6.6637	-10.2058	0.68585	1.1632	6.7253	6.7743	42.0329	8.206
WN2001	-0.093856	-0.14775	3.5201	-6.9927	0.87016	-4.362	3.2868	37.9908	-4.5819
WN2002	0	3.415	4.289	7.1988	6.2842	12.0588	12.3239	6.648	10.3879
WN2033	-0.078884	-7.1402	-8.5827	-7.5445	-1.6187	6.1512	9.4149	-3.8223	7.3816
XZ1513	0	21.8609	45.6023	55.2215	38.1702	32.3394	27.9164	23.682	-12.8278
XZ1514	-0.00098536	-19.757	-44.7437	-27.4777	-30.4553	-5.8541	-4.8378	-51.3784	23.2957
XZ1516	-0.13426	-11.1028	-20.5912	-18.29	-14.9617	-12.2506	-11.2829	15.0484	8.3406
