strain,blob_box_width_90th_medianDiff_all,blob_box_width_IQR_medianDiff_all,blob_box_width_w_forward_IQR_medianDiff_all,blob_box_width_w_paused_10th_medianDiff_all,blob_box_width_w_paused_50th_medianDiff_all,blob_box_width_w_paused_90th_medianDiff_all,blob_box_width_w_paused_IQR_medianDiff_all,d_blob_box_width_10th_medianDiff_all,d_blob_box_width_90th_medianDiff_all,d_blob_box_width_IQR_medianDiff_all,d_blob_box_width_w_forward_10th_medianDiff_all,d_blob_box_width_w_forward_IQR_medianDiff_all,d_blob_box_width_w_paused_10th_medianDiff_all,d_blob_box_width_w_paused_90th_medianDiff_all,d_blob_box_width_w_paused_IQR_medianDiff_all,d_width_head_base_w_backward_50th_medianDiff_all,d_width_head_base_w_backward_90th_medianDiff_all
JU1793,53.6306,8.8865,2.3562,24.4465,106.4914,218.5178,152.5523,-2.0299,-0.0077667,0.74969,-0.69924,0.62279,-18.7853,23.1233,13.2678,-0.89566,-2.4089
JU1808,299.9893,35.4185,-2.4368,62.3244,269.5937,424.8002,243.0335,-3.2708,1.6242,1.0261,-0.42034,-0.55143,-44.5361,51.0018,31.7299,-0.75915,-1.8238
JU1896,131.6273,26.7178,2.2776,40.2826,141.8214,234.9885,178.9533,-9.8102,11.4958,5.8888,-7.9263,4.4292,-20.2768,26.3169,12.5142,-0.39385,-3.0552
JU2001,80.7889,23.3638,6.333,-26.1733,24.2596,242.1243,99.9515,-1.3859,1.3486,0.17168,-4.2187,4.4462,-0.55265,0.97889,-3.1704,-0.53692,-3.4773
JU2007,229.3046,45.2675,11.0399,46.2504,165.7684,263.1605,181.7311,-7.0845,10.1289,5.8514,-4.7404,4.2238,-19.3106,22.9186,18.9663,-0.27545,-5.222
JU2131,186.7336,40.2388,2.7308,32.2842,129.0905,305.4788,186.8776,-8.1826,9.9556,5.7648,-7.1248,5.8247,-16.0781,14.1503,9.6678,-0.55696,-3.5641
JU2141,81.126,15.6699,3.6841,42.1664,118.0038,244.4939,132.3593,-7.0875,10.3163,3.0251,-5.8101,3.1896,-17.6759,17.6565,10.0255,-0.48042,-6.2725
JU2234,99.1294,17.2166,1.7486,9.1204,124.7784,356.4488,242.3778,-6.0841,5.5791,3.1392,-4.1266,1.898,-20.5589,27.5589,17.4189,-0.21409,-3.2499
JU2464,199.675,23.9034,-2.3483,24.5924,136.5535,342.3711,160.0575,-4.3684,3.3332,2.4405,-1.9488,1.1227,-26.3087,28.283,15.6639,-0.22171,-0.42665
JU2466,178.632,39.3777,7.1711,11.5979,94.5466,346.1538,239.8916,-7.1795,5.7839,3.4885,-8.1335,6.0001,-18.8667,19.5147,6.5273,-0.16463,-4.9839
JU2513,133.0872,22.3656,3.0885,47.3997,136.314,244.4832,168.8452,-4.9875,7.0741,3.5197,-2.7279,2.0674,-24.3293,17.5165,13.4126,-0.94725,-7.0491
JU2519,163.1018,51.9872,9.293,44.0262,127.4038,250.2665,147.038,-7.3703,5.1641,4.7227,-5.3622,4.065,-21.2275,22.5824,16.9192,-0.157,-0.71002
JU2522,85.862,25.8552,7.9177,14.1869,66.8101,186.2394,142.8155,-5.2277,6.6852,3.3936,-3.6377,3.2071,-15.2766,18.4268,14.6019,-0.67464,-1.0622
JU2526,207.5735,55.174,10.7663,62.8495,198.62,327.3159,201.5658,-10.7513,12.6983,10.2675,-7.9348,10.7247,-31.8724,35.5394,20.9599,-0.50445,-5.6961
JU2534,140.5759,22.1366,7.3537,27.9218,187.2204,367.3785,237.1081,-9.927,11.1154,6.5209,-6.9228,4.2581,-35.4906,38.8671,23.9973,-0.63504,-3.0958
JU2565,139.1435,12.5479,-0.96119,25.4997,64.0051,324.3883,151.5285,-2.879,2.5952,1.6269,-0.94512,0.47317,-18.3356,18.4543,7.8577,-0.36759,-0.18608
JU2566,115.7363,22.2072,11.413,39.8421,173.6059,352.5726,199.669,-7.8935,10.2459,6.2946,-5.8977,4.2888,-28.9005,28.8171,19.9525,-0.066566,-3.5078
