strain,blob_box_length_IQR_medianDiff_all,blob_box_length_w_paused_90th_medianDiff_all,blob_box_length_w_paused_IQR_medianDiff_all,d_blob_box_length_10th_medianDiff_all,d_blob_box_length_90th_medianDiff_all,d_length_w_backward_10th_medianDiff_all,d_length_w_backward_50th_medianDiff_all,d_length_w_backward_IQR_medianDiff_all,length_norm_10th_medianDiff_all,length_norm_90th_medianDiff_all,length_norm_IQR_medianDiff_all
JU1409,30.283,54.4447,87.1375,-19.2317,18.5446,10.393,0.82185,-6.197,0.0091448,-0.0045319,-0.0078443
JU1440,19.7335,216.0022,67.2292,-11.4868,12.2741,4.7559,1.2939,-4.3198,0.009204,-0.002025,-0.0085461
JU1491,7.7173,176.7527,137.0409,-13.2825,12.5939,6.6621,1.4791,-4.3391,0.0097419,-0.0078611,-0.010458
JU1530,20.7142,369.3994,162.8992,-14.9308,14.2233,17.1387,0.9827,-10.2139,0.015022,-0.00598,-0.010771
JU1543,46.8124,487.9486,127.7597,2.582,-0.32881,-2.3559,0.99267,3.4934,-0.0011398,0.0010715,0.00065482
JU1568,41.0964,201.0427,84.8339,-18.6217,18.4879,7.4176,1.0604,-4.5906,0.0088897,-0.0044358,-0.00778
JU1580,29.1615,168.1981,96.9276,0.9315,0.4699,1.9772,0.9322,-2.0146,0.004747,-0.003879,-0.0057524
JU1581,31.6945,197.0844,51.7297,-14.5753,14.7895,7.1218,1.3988,-5.1579,0.011956,-0.0028853,-0.0070242
JU1586,28.2873,55.683,81.4213,-10.1729,10.0538,8.3448,1.539,-5.3984,0.010047,-0.0046428,-0.0077728
JU1652,8.005,425.6139,196.6702,-20.0312,20.2699,3.3049,-0.52492,-2.8128,0.0037086,-0.0014897,-0.0043805
JU1793,10.6598,234.6468,12.6474,-0.69107,0.047375,2.812,0.36638,-0.82823,0.0030514,-0.0011838,-0.0025985
JU1808,29.3063,397.0082,203.3657,-4.1584,8.3281,-0.87998,0.57454,1.7257,0.0014429,0.00020957,-0.0010512
JU1896,11.5358,275.4723,73.2006,-14.2528,14.224,9.1672,1.3383,-6.2115,0.0067738,-0.005667,-0.0078002
JU2001,66.1829,69.9841,25.8522,1.5519,1.6279,7.8716,0.29965,-6.613,0.0048032,-0.0013732,-0.0058502
JU2007,4.4582,234.7444,87.9073,-9.5975,8.9829,12.2076,0.66695,-10.3683,0.008929,-0.0050156,-0.0085597
JU2131,23.4416,55.0175,123.3679,-11.5491,13.1201,5.182,1.2342,-1.9907,0.010802,-0.0088545,-0.0096567
JU2141,5.351,262.6678,37.1754,-14.1118,14.1871,10.9577,1.9797,-7.1283,0.013306,-0.0081419,-0.013792
JU2234,36.4322,426.11,93.4814,-11.1859,10.2381,6.9499,1.4531,-4.3197,0.0097027,-0.0049347,-0.0072489
JU2464,23.0111,111.6618,107.3157,-4.5794,6.8322,6.5692,0.4967,-3.2505,0.0049841,-0.0041341,-0.0064852
JU2466,27.7378,299.9465,147.1545,-10.243,10.0236,11.5604,0.54795,-8.7479,0.012917,-0.0045627,-0.010206
JU2513,16.7523,186.4335,108.3998,-8.6203,7.605,20.8078,1.4189,-13.2482,0.014707,-0.0067942,-0.011764
JU2519,32.893,320.3632,108.9515,-13.3859,13.2493,2.3188,1.1672,-1.6603,0.0042413,-0.0020213,-0.0062482
JU2522,22.9332,276.3407,83.2226,-7.0051,8.2276,-0.73828,1.4073,0.61689,0.0040122,-0.0012382,-0.0033124
JU2526,35.296,117.2676,129.3186,-15.2659,18.6737,13.5714,0.76084,-11.6025,0.007606,-0.0028087,-0.0051277
JU2534,14.965,452.0156,226.1553,-15.651,13.949,8.1526,1.0123,-7.2102,0.0094084,-0.004007,-0.0064366
JU2565,20.256,324.1822,78.0734,0.34051,2.5441,1.4323,0.61795,-0.27396,0.0036882,-0.00043142,-0.0034312
JU2566,10.9388,356.0273,72.0135,-18.7545,18.0754,5.2546,1.5752,-4.2697,0.0093856,-0.0063778,-0.011385
JU2578,34.9379,315.0151,148.7732,0.81026,3.5954,0.44695,1.726,0.37145,0.0020025,-0.0021224,-0.0028195
JU258,26.9732,362.2894,99.3999,-10.9482,11.3633,7.606,1.2598,-4.9765,0.0097636,-0.0023005,-0.0078835
JU2587,65.4863,102.8584,53.1074,-10.6064,12.2027,2.6508,0.24615,-1.5608,0.0053341,-0.003569,-0.006896
JU2593,51.2835,278.2177,210.602,-17.6568,16.401,7.8161,2.0597,-6.7475,0.009116,-0.0051782,-0.0068173
JU2600,15.1737,277.7064,59.7841,-7.0101,7.7234,2.4426,0.72715,-2.8239,0.0079341,-0.0033131,-0.0058505
JU2800,2.7906,188.7651,126.5584,-20.8313,19.5439,9.5573,1.4712,-6.8315,0.0068873,-0.0036529,-0.005502
JU2862,32.0274,213.858,-54.4344,-5.5953,7.989,5.0286,2.742,-5.4892,0.0008378,0.00043511,-0.00052643
JU2866,-19.7761,478.5108,128.2709,-17.9462,14.9057,-6.3711,1.6072,4.055,0.011291,-0.0058295,-0.01015
JU2878,9.4847,10.6918,72.0107,-10.1537,12.4215,7.4153,1.0074,-5.3852,0.010524,-0.0032119,-0.0079096
JU2879,37.692,466.1405,97.0945,-13.8104,13.2759,8.3352,0.77794,-5.7624,0.0054662,-0.0027486,-0.0037028
JU2906,18.8223,433.1902,180.9399,-3.9562,5.3824,2.6978,0.65062,-3.4293,0.0069176,-0.0016161,-0.0037135
JU310,30.2973,208.1783,60.1626,-13.1167,13.0901,5.1214,0.73839,-2.5601,0.0046433,-0.00083137,-0.0036483
JU311,51.0056,523.9871,94.5853,-24.6768,22.5342,12.8494,1.9864,-7.5726,0.013436,-0.0080288,-0.014647
JU3125,41.9824,567.1699,262.1507,-19.0491,16.1659,4.4605,0.80967,-0.62318,0.0058673,-0.0040575,-0.0049367
JU3127,15.2299,180.5719,131.8981,-7.7195,6.8567,4.7116,0.852,-4.495,0.0098134,-0.0057893,-0.0084307
JU3134,36.5234,269.4843,212.6534,-12.5911,14.281,9.2617,1.6537,-7.2095,0.0069164,-0.0043241,-0.0064737
JU3135,31.1524,241.5636,167.2987,-14.5883,14.7365,-0.25449,1.1276,1.0321,0.0026234,-0.0013057,-0.0027793
JU3137,26.3856,203.6122,137.8225,-9.1549,9.2862,6.2197,0.23082,-4.0766,0.0058962,-0.0025747,-0.0046909
