strain,d_dist_from_food_edge_IQR_medianDiff_all,d_dist_from_food_edge_norm_IQR_medianDiff_all,d_dist_from_food_edge_w_backward_10th_medianDiff_all,d_dist_from_food_edge_w_forward_IQR_medianDiff_all,dist_from_food_edge_IQR_medianDiff_all,dist_from_food_edge_norm_IQR_medianDiff_all,dist_from_food_edge_w_backward_90th_medianDiff_all,dist_from_food_edge_w_backward_IQR_medianDiff_all,dist_from_food_edge_w_forward_50th_medianDiff_all,dist_from_food_edge_w_forward_IQR_medianDiff_all,food_region_edge_duration_50th_medianDiff_all,food_region_edge_frequency_medianDiff_all,food_region_inside_duration_50th_medianDiff_all,food_region_inside_frequency_medianDiff_all,food_region_outside_duration_50th_medianDiff_all,orientation_food_edge_in_edge_10th_medianDiff_all,orientation_food_edge_in_edge_IQR_medianDiff_all,orientation_food_edge_w_backward_90th_medianDiff_all,orientation_food_edge_w_backward_IQR_medianDiff_all,orientation_food_edge_w_forward_10th_medianDiff_all,orientation_food_edge_w_forward_90th_medianDiff_all,orientation_food_edge_w_forward_IQR_medianDiff_all,orientation_food_edge_w_paused_10th_medianDiff_all
ED3017,8.6002,0.016861,-25.76,5.1182,384.2727,0.65641,1126.8264,1422.1823,348.0978,347.3218,-10.68,0.015849,-31.82,0.013478,-4.7,-6.9673,12.5407,8.4457,14.2778,-2.8155,4.4426,8.8467,0.94982
ED3040,34.3784,0.033288,-40.3321,38.2944,241.0876,0.072826,619.613,1172.6003,816.4088,189.5702,-3.74,0.01496,-24.33,0.012495,-2.78,-15.5912,20.8217,21.551,24.4611,-9.8172,7.8789,17.4086,-45.0883
ED3046,23.8637,0.028865,-12.8137,33.7269,1278.7794,1.3154,1018.0117,513.7653,610.7009,1354.3502,-4.9,0.017072,-43.16,0.0051151,-10.38,-14.8011,26.0964,9.6986,40.9045,-11.6122,4.8651,26.9778,-20.534
ED3048,28.0406,0.04749,-30.9175,24.8375,849.5118,1.0009,1370.5278,1568.877,682.6395,743.3492,-6.36,0.021391,-30.39,0.016312,-14.62,-9.7355,21.8458,7.5281,14.0675,-4.6646,2.2849,21.6051,4.9944
ED3049,24.467,0.041104,-12.2393,34.1606,886.3098,1.197,2300.1486,910.2798,550.6819,806.6376,-5.36,0.016888,-41.64,0.012269,-21.98,-15.1386,18.7711,0.13845,31.8955,-10.7038,8.4349,22.9888,-42.5942
ED3052,52.0584,0.058589,-31.7577,53.7994,875.4257,1.168,1271.0146,494.8665,562.5856,777.9603,-10.58,0.022829,-46.68,0.011561,-10.8,-20.5304,27.1886,24.8759,27.5289,-11.3481,3.3165,29.5688,-8.7221
ED3073,31.406,0.04342,-18.0272,40.9064,-136.5153,-0.10881,-551.5116,127.9216,140.6174,130.9315,-13.4,0.016132,-44.42,0.0040494,-9.6,-13.3883,21.3927,-7.642,12.6308,-5.7829,3.3686,14.803,-27.0614
ED3077,-19.9235,-0.014968,-29.3534,-15.8345,464.2491,0.49638,1542.2939,906.4372,392.2361,300.3525,-15.2,0.015328,-38.92,0.0045066,-5.4,-7.1241,13.4755,-3.0663,20.3667,-1.2958,0.60983,10.9778,-51.191
EG4347,49.0966,0.046007,-43.0975,48.4072,880.319,0.91821,2156.3583,807.0334,502.0227,786.8486,-9.64,0.019328,-56.12,0.0052005,-7.8,-17.7571,20.6774,19.9027,32.5442,-3.8685,3.5915,24.199,-52.1689
EG4349,43.2607,0.043419,-25.2981,42.1304,948.5413,1.026,1358.2844,425.2395,571.2638,831.1245,-6.24,0.017244,-43.16,0.0048742,-6.76,-24.4761,17.9494,10.6274,30.3476,-12.3504,7.7773,28.987,-23.2781
